Category,Document/Template Type,Official ADGM/Government Link
Company Formation & Governance,General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions,https://www.adgm.com/registrationauthority/registration-and-incorporation
Company Formation,Resolution for Incorporation (LTD - Multiple Shareholders),https://assets.adgm.com/download/assets/adgm-ra-resolution-multipleincorporate-shareholders-LTDincorporationv2.docx/186a12846c3911efa4e6c6223862cd87
Company Formation & Compliance,Incorporation, SPV, LLC, Other Forms & Templates,https://www.adgm.com/setting-up
Policy & Guidance,Guidance, Templates, Policy Statements,https://www.adgm.com/legalframework/guidance-and-policystatements
ADGM Company Set-up,Checklist – Company Setup (Various Entities),https://www.adgm.com/documents/registration-authority/registration-andincorporation/checklist/branch-nonfinancial-services-20231228.pdf
ADGM Company Set-up,Checklist – Private Company Limited,https://www.adgm.com/documents/registration-authority/registration-andincorporation/checklist/private-companylimited-by-guarantee-non-financialservices-20231228.pdf
Employment & HR,Standard Employment Contract Template (2024 update),https://assets.adgm.com/download/assets/ADGM+Standard+Employment+Contract+Template+-+ER+2024+(Feb+2025).docx/ee14b252edbe11efa63b12b3a30e5e3a
Employment & HR,Standard Employment Contract Template (2019 short version),https://assets.adgm.com/download/assets/ADGM+Standard+Employment+Contract+-+ER+2019+-+Short+Version+(May+2024).docx/33b57a92ecfe11ef97a536cc36767ef8
Data Protection,Appropriate Policy Document Template,https://www.adgm.com/documents/office-of-data-protection/templates/adgm-dpr2021-appropriate-policy-document.pdf
Compliance & Filings,Annual Accounts & Filings,https://www.adgm.com/operating-in-adgm/obligations-of-adgm-registered-entities/annual-filings/annual-accounts
Letters/Permits,Application for Official Letters & Permits,https://www.adgm.com/operating-in-adgm/post-registration-services/letters-and-permits
Regulatory Guidance,Incorporation Package, Filings, Templates,https://en.adgm.thomsonreuters.com/rulebook/7-company-incorporation-package
Regulatory Template,Shareholder Resolution – Amendment of Articles,https://assets.adgm.com/download/assets/Templates_SHReso_AmendmentArticles-v1-20220107.docx/97120d7c5af911efae4b1e183375c0b2?forcedownload=1
